Name,Hash,Users,Version,All Hosts,Permissions
Smarty,793b7dfbe822d32dbf6a391cf6687508dc78007327894893b92339ae07df6a7b,500000,3,True,"['cookies', 'storage', 'tabs', 'unlimitedStorage', 'webRequest', 'scripting', 'alarms']"
"Karma | Online shopping, but better",cfc09abaa7017e3365acddd11fef06d0fcfeb484e0b426cc29df663e042f77f4,500000,3,True,"['tabs', 'scripting', 'webRequest']"
DotVPN: Fast & Private VPN,30fe2e2b22701040abc2368ce7dcfaad654f92b0d36f0933cced671be0a4cb9b,500000,3,True,"['proxy', 'webRequest', 'management', 'background', 'alarms', 'storage']"
Chatgpt friend,39fa9c5ad375eb8856fcb78fbfe25238e8cbbde4a299557f26ce02b64de8e94a,500000,3,True,"['alarms', 'storage', 'webRequest']"
Silk - Privacy Pass Client,fa4e85095cda6653989690c6e6814768c9fa2ff285ce034b94ddc1d0b3298371,400000,3,True,"['declarativeNetRequest', 'storage', 'tabs', 'webRequest']"
Pnet: бесперебойный доступ к сайтам!,36f761ffaf422ba2c92cb614b60e44878a9758d7793eb717fa9057dc851e585d,400000,3,True,"['tabs', 'storage', 'proxy', 'webRequest', 'webRequestBlocking', 'declarativeNetRequest', 'scripting', 'alarms', 'cookies', 'activeTab', 'management', 'offscreen']"
FastProxy - обход блокировки сайтов,af6e5110b41e0807371bbd0a66cbf2c86a5b68d721b863dd3f6ed2b13b7f99d4,400000,3,True,"['proxy', 'tabs', 'webRequest', 'storage', 'unlimitedStorage', 'alarms', 'scripting']"
Плагин ГИС НР,6b01acc404f0874385e3e9727a841e6cefba0f875afb3eaf1765a3259fe560d1,400000,3,True,"['storage', 'webRequest', 'activeTab', 'notifications', 'tabs']"
IObit Surfing Protection,e86c65b5dc4fd7eff003056def044c164d596117534b4eb9d15df4e7044c02b4,400000,3,True,"['nativeMessaging', 'tabs', 'storage', 'scripting', 'declarativeNetRequest', 'declarativeNetRequestFeedback', 'webNavigation', 'webRequest', 'alarms']"
MarketApp P2P,7aeb5899b6cbe07588c349ad1b02208d7ca53b5449cbf545d6ba19ce0d0417fa,400000,3,False,"['notifications', 'storage', 'background', 'webRequest', 'offscreen', 'cookies', 'tabs', 'activeTab', 'declarativeNetRequest', 'alarms']"
Weava Highlighter - PDF & Web,fc604cb7ee1ff4f16bc9972eca28b5ddcc69ca09ed078df10d12406691510a7e,400000,3,True,"['contextMenus', 'declarativeNetRequest', 'scripting', 'storage', 'tabs', 'unlimitedStorage', 'webNavigation', 'webRequest', 'notifications']"
ApkOnline APK manager for Android emulator,c9bacb0c0a384655fe5793dc67edf5ffc8711f56280ba375a604b1872bfedde4,400000,3,True,"['webRequest', 'storage']"
Image Downloader - images and photo download,214b76f7480cedd5c57bfd4b2fb45c8941c88146d8b5391169dbac0bbf84de00,400000,3,True,"['storage', 'activeTab', 'scripting', 'downloads', 'webRequest', 'declarativeNetRequest']"
VMware Horizon HTML5 Redirection Extension,0e0ede47502379d9d9a50402ff850a43b958e3ad1c19e203d24cfe731fa247d5,300000,3,True,"['nativeMessaging', 'scripting', 'webRequest']"
PureVPN Proxy - Best VPN for Chrome,d01ff0a8f2b7049c71882cad5849502533d693ab7944f628a78276b64b1469fb,300000,3,True,"['alarms', 'tabs', 'webRequest', 'webNavigation', 'proxy', 'privacy', 'storage', 'management', 'webRequestAuthProvider', 'identity']"
ExpressVPN Keys: Password Manager,5fd0b4ee21e73c32e35cbdc01f3493d86016909c5cd4aa343342a593d68c3aa4,300000,3,True,"['nativeMessaging', 'webNavigation', 'webRequest', 'storage', 'unlimitedStorage', 'tabs', 'alarms', 'idle', 'notifications', 'clipboardWrite', 'offscreen', 'privacy']"
Google Meet Attendance List,134e72f84589af49241f1d107cb0693155fcf1518329962d56689ef85886cb80,300000,3,True,"['tabs', 'webRequest', 'storage', 'unlimitedStorage']"
Video Downloader professional,8ac58dff24c8ae46187e128b47ee457760a91786203b33a8c2d31ef32b564187,300000,3,True,"['tabs', 'downloads', 'storage', 'webRequest']"
"Ibotta: Price compare, cashback, item alerts",c880bb6009baf4d376f92975f24b2a87546ea45e2aeebb134c68d6c201087a52,300000,3,True,"['storage', 'unlimitedStorage', 'background', 'webRequest', 'declarativeNetRequest', 'alarms', 'offscreen', 'cookies']"
FoxyProxy,34996aae358b7e8155f73449ae778c498ee3c0236032d4acd81e8cf4d2fe2140,300000,3,True,"['downloads', 'notifications', 'proxy', 'storage', 'tabs', 'webRequest', 'webRequestAuthProvider']"
1VPN - Free VPN,279598bc11bf01206248c11ce978a52681eff38777fc3251b7f9573fb7e5b031,300000,3,True,"['proxy', 'storage', 'webRequest', 'privacy', 'webRequestAuthProvider', 'management', 'offscreen']"
Snet: Сохрани свою анонимность!,3a31bf43f06097a6b3c853031affaf316244bce3e8ad757d1acd62c8c1e5ad95,300000,3,True,"['tabs', 'storage', 'proxy', 'webRequest', 'webRequestBlocking', 'declarativeNetRequest', 'scripting', 'alarms', 'cookies', 'activeTab', 'management', 'offscreen']"
Similar Sites - Discover Related Websites,b8fe7b5d1cf8b1b1f09c80ef4eda372077ad94916792325c4611df2da668d486,300000,3,True,"['tabs', 'webRequest', 'webNavigation', 'storage', 'scripting', 'contextMenus']"
TxtAnalyser,4d1f0097b488500c226d225f7409837cb2d8c2ab4c8eec15aa1a615a45fae021,300000,3,True,"['tabs', 'webNavigation', 'webRequest', 'declarativeNetRequest', 'storage', 'scripting']"
PDF Viewer - open in PDF Reader,ee37ba09ae8bcbdaaeb881ad69fc8aef285bbc33b988314dc97b59dedb075718,300000,3,True,"['webRequest', 'webNavigation', 'storage', 'contextMenus']"
VPN Ultimate - Best VPN by unblock,77782c00d0cf190f464d524d8bc50d7a19f1c646ee13adbe0bc378ba2b223044,300000,3,True,"['proxy', 'storage', 'declarativeNetRequest', 'webRequest']"
NeatDownloadManager Extension,4d10f329cdeacc7a5cb6f101a0effb0fc16e4f64a5e19a9ad18aedbb4dd9ae18,300000,3,True,"['webRequest', 'webNavigation', 'cookies', 'contextMenus', 'storage', 'downloads']"
AdGuard VPN — free & secure proxy for Chrome,26bb5a26520ded09b3c7f461c1161bac8a5d8b26380b39e348d81678095cdd68,300000,3,True,"['contextMenus', 'management', 'notifications', 'offscreen', 'privacy', 'proxy', 'storage', 'unlimitedStorage', 'webRequest', 'webRequestAuthProvider']"
Reader Mode_1,e28ed083c7488ecaa427755a70b2b59fc0112f8d1e854f1ba07c2bb189ec4d30,300000,3,True,"['alarms', 'tabs', 'storage', 'webRequest', 'webNavigation', 'scripting', 'activeTab']"
Popup Blocker Pro,9a842ecb3c101e356b377b933f00291a2adb6dd19473ab0e225469ed95ff0420,300000,3,True,"['storage', 'webRequest', 'declarativeNetRequest', 'tabs', 'contextMenus']"
Slickdeals: Automatic Coupons and Deals,949b1005b7ba79ed635c6e0ff3788796a5f16f573a1e0f477cb1d16d367c8665,300000,3,True,"['alarms', 'cookies', 'declarativeNetRequest', 'declarativeNetRequestWithHostAccess', 'notifications', 'scripting', 'storage', 'tabs', 'unlimitedStorage', 'webNavigation', 'webRequest']"
